name,address,description
OYO 193 SM Residence,"Jalan Babakan Jeruk Indah 1 No 11, Sukajadi, 40163 Bandung, Indonesia","A 10-minute drive from Husein Sastranegara International Airport, SM Residence offers budget accommodations with free Wi-Fi access. Fan-cooled rooms with an private bathroom are available in this nonsmoking property. SM Residence is a 10-minute drive from Bandung Trade Center and a 15-minute drive from Rumah Mode Factory Outlet. Pasar Baru is a 20-minute drive away. Brightly lit, each room is furnished with a desk and a wardrobe. Select units come with a flat-screen cable TV, while all private bathrooms are fitted with shower facilities. Airport transfers and car rental can be arranged by staff at the front desk. SM Residence also offers the conveniences of laundry and room services. Free mineral water is available in the shared kitchen. Various dining options can be found within a 5-minute walk from the property. Sukajadi is a great choice for travelers interested in culturally diverse food, scenery and food shopping."
Capital O 874 Hotel Nyland Pasteur,"Jl. Dr. Djunjunan (Terusan Pasteur) No. 125, 40162 Bandung, Indonesia","Featuring an outdoor pool, Capital O 874 Hotel Nyland Pasteur is 500 meters from the Pasteur Highway. This accommodation is modern and offers free Wi-Fi in all areas. Those who drive can enjoy free parking privileges. Air-conditioned rooms at Capital O 874 Hotel Nyland Pasteur are well-equipped with cable TV, a seating area and a desk. Each en suite bathroom provides shower facilities and free toiletries. The Paris Van Java shopping center and Husein Sastranegara International Airport are both within a 20-minute drive of the accommodation."
OYO 352 Sabang Hotel,"Jl. Sabang No.101, Cihapit, Bandung Wetan, Kota Bandung, Jawa Barat, Bandung Wetan, 40114 Bandung, Indonesia","Conveniently set in the Bandung Wetan district of Bandung, OYO 352 Hotel Sabang is located a 6-minute walk from Riau Street, 1.3 km from Gedung Sate and 3.4 km from Braga City Walk. Featuring a shared lounge, the 2-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. At the hotel, every room comes with a closet and a flat-screen TV. Speaking English and Indonesian, staff will be happy to provide guests with practical guidance on the area at the reception. Trans Studio Bandung is 3.4 km from OYO 352 Hotel Sabang, while Merdeka Palace is 3.9 km away. The nearest airport is Husein Sastranegara Airport, 8 km from the accommodation. Bandung Wetan is a great choice for travelers interested in local food, clothes shopping and relaxation."
Hilton Bandung,"Jalan HOS Tjokroaminoto No. 41-43, Arjuna, Cicendo, 40172 Bandung, Indonesia","Hilton Bandung offers a relaxing place to stay with free Wi-Fi access in public areas, a rooftop pool and 3 dining options in the center of Bandung city, precisely 650 meters from Bandung Train Station, and near 23 Paskal, Pasar Baru Bandung, and Braga City Walk. The spacious, modern and stylish rooms have air conditioning, a flat-screen TV and a minibar. The private marble bathroom features translucent glass, a double sink and raindrops. Hilton Bandung is about 4 km from Husein Sastranegara Airport and 3.5 hours drive from Jakarta. The rooftop swimming pool offers panoramic views of Tangkuban Perahu Mountain, with sun loungers around it. The hotel also provides a gym, connectivity station and concierge services. Freshly made pizzas and Western specialties are served at Fresco Restaurant, while Purnawarman Restaurant offers Asian and Indonesian dishes. Drinks and snacks are served at the Magma Lounge."
InterContinental Bandung Dago Pakar,"Jalan Resor Dago Pakar Raya 2B, Resor Dago Pakar Bandung, 40198 Bandung, Indonesia","Located in Bandung, InterContinental Bandung Dago Pakar features an infinity pool overlooking lush greenery and a wellness area. The hotel provides a 24-hour front desk and free WiFi access throughout. Decorated in neutral colors, the air-conditioned rooms here are fitted with a flat-screen satellite TV, a seating area and ironing facilities. Complete with a mini-bar, the room also features a refrigerator and a desk. Private bathroom comes with a hairdryer, bath or shower, and free toiletries. InterContinental Bandung Dago Pakar has meeting/banqueting facilities as well as a business center. The concierge service can help with luggage storage. Car rental services and airport shuttle can also be arranged at additional charges. Other facilities offered include laundry, dry cleaning and ironing services at extra charges. Local and international dishes can be enjoyed at the on-site Damai Restaurant. The hotel is a 25-minute drive from Gedung Sate and a 45-minute drive from Trans Studio Bandung. Husein Sastranegara International Airport is a 40-minute drive away."
Aryaduta Bandung,"Jalan Sumatera No. 51, Bandung Wetan, 40014 Bandung, Indonesia","Hotel Aryaduta Bandung offers 5-star accommodations in the heart of Bandung, just 5 minutes' drive from all the major factory outlets and the quaint Braga Street area. The hotel has a walkway connected to Bandung Indah Plaza Mall. An outdoor pool, fitness center and pampering spa services are available. Free WiFi access is provided in all areas. Rooms are fitted with carpeted flooring and decorated in neutral colors. A flat-screen cable/satellite TV, mini-bar and personal safe are included. Private bathrooms come with hot-water showers and slippers. Hotel Aryaduta Bandung is a 10-minute walk from St. Hall Railway Station and a 45-minute drive from Tangkuban Perahu Crater. Free parking is available. Husein Sastranegara International Airport is a 20-minute drive away. A 24-hour front desk and 24-hour room service are provided for guests' convenience. Taruma Kafe serves a daily buffet breakfast, as well as international and Continental dishes. Other dining options include Cantonese cuisine at Cha Yuen Chinese Restaurant and freshly bakes pastries and bread at Cinnamon Pastry Boutique. Further dining options can be found within a 10-minute drive. Bandung Wetan is a great choice for travelers interested in local food, clothes shopping and relaxation."
Art Deco Luxury Hotel & Residence,"Jalan Rancabentang No.2, Ciumbuleuit, 40142 Bandung, Indonesia","Set in Bandung in the West Java Region, 1.1 mi from Villa Isola, Art Deco Luxury Hotel & Residence features an outdoor pool and hot tub. Guests can enjoy the on-site bar. All rooms include a TV. Rooms include a private bathroom. For your comfort, you will find bathrobes, slippers and free toiletries. You will find a 24-hour front desk at the property. Cihampelas Walk is 1.7 mi from Art Deco Luxury Hotel & Residence, while Dago Pakar is 1.8 mi away. The nearest airport is Husein Sastranegara Airport, 3.1 mi from Art Deco Luxury Hotel & Residence."
Crowne Plaza Bandung,"Jl. Lembong No. 19, Sumurbandung, 40111 Bandung, Indonesia","Strategically located in the heart of Bandung, Crowne Plaza Bandung offers 4 dining options and an outdoor swimming pool. Free Wi-Fi access is available in all areas. The modern and elegant rooms have air conditioning, an iPod dock and a flat-screen cable TV. A sofa, personal safe and minibar are also available. The bathroom is equipped with a shower, bathtub and hairdryer. You can enjoy city and mountain views. Mosaic All Day Dining Restaurant serves a variety of delicious Indonesian and international dishes, while coffee and desserts can be sampled at Connexions Lobby's Lounge. Various dining options can be found at Braga Citywalk, a 5-minute walk from the hotel. The hotel offers a fitness center, business center and meeting facilities. Staff at the 24-hour front desk can assist you with valet parking, luggage storage and laundry services. Other facilities offered are a children's club and spa with soothing treatments. Crowne Plaza Bandung is a 5-minute walk from Braga and in 10 minutes from the Cathedral of Bandung. Bandung Train Station can be reached in 15 minutes by driving, while Husein Sastranegara International Airport in 25 minutes. Sumurbandung is the right choice for tourists who like shopping for clothes, special culinary delights, and local dishes."
Best Western Premier La Grande Bandung,"Jl. Merdeka No. 25 - 29, Sumurbandung, 40117 Bandung, Indonesia","A modern hotel boasting an indoor pool and spa, Best Western Premier La Grande Bandung is 901 m from Braga City Walk. The property features a fitness center and free WiFi access. Decorated in neutral colors, the air-conditioned rooms are fitted with a flat-screen cable TV, an electric kettle and mini-bar. Each room is also soundproofed and has a sofa for guests convenience. Every private bathroom comes with a hairdryer, slippers and bathrobes. Guests enjoy city view. At Best Western Premier La Grande Bandung you can sample various dishes, whether at the on-site restaurant or order for in-room dining. Car hire, airport transfer and shuttle services are available upon requests. Other facilities like laundry and dry cleaning are offered for convenience. Gedung Sate is 0.7 mi from Best Western Premier La Grande Bandung. The nearest airport is Husein Sastranegara Airport, 2.5 mi from the property. Sumurbandung is a great choice for travelers interested in clothes shopping, culturally diverse food and local food."
éL Royale Hotel Bandung,"Jalan Merdeka 2, Sumurbandung, 40111 Bandung, Indonesia","éL Hotel Royale Bandung is located within walking distance of the historical Braga Street (Jalan Braga). It provides free Wi-Fi, a restaurant and ATMs for guests’ convenience. Enjoying a central location in Bandung, éL Hotel Royale Bandung offers convenient access to Asia Africa Museum. The property is a 5-minute drive from Bandung's business district and a 15-minute drive from Husein Sastranegara International Airport. Rooms at éL Hotel Royale Bandung feature a TV, safety deposit box and tea/coffee making facilities. Attached bathrooms come with a bathtub and shower. The studios have kitchenettes, a dining area and a flat-screen TV. For guests’ travel and professional needs, the hotel has a tour desk and a business center. Laundry and dry cleaning services are available. éL Hotel Royale Bandung’s restaurant serves Indonesia, Chinese and Western dishes. Room service is also available. Sumurbandung is a great choice for travelers interested in clothes shopping, culturally diverse food and local food."
Courtyard by Marriott Bandung Dago,"Jl. Ir. H. Juanda No 31 - 33, Bandung Wetan, 40116 Bandung, Indonesia","Courtyard by Marriott Bandung Dago is located in Bandung, 650 meters from shopping in Kartika Sari Dago and Jalan Riau. The hotel is surrounded by coconut trees, and offers an outdoor swimming pool and a full-service spa. Courtyard by Marriott Bandung Dago provides a free shuttle to Husein Sastranegara Airport, 6 km from the hotel. This accommodation is a 10-minute taxi ride from Kebon Kawung Train Station. Parking is available free on site. The rooms have air conditioning, modern-style décor, carpet floors and elegant wooden furniture. Each room has a flat-screen TV and tea / coffee making facilities. A personal safe and hairdryer are also available. The Spa provides relaxing facials and Indonesian massage. The hotel also has a complete gym, car rental to explore Bandung, as well as various facilities in the business center. MoMo Café serves a daily buffet breakfast, as well as international cuisine. Cocktails and live entertainment can be enjoyed at Bar @ Dago. Bandung Wetan is the right choice for tourists who like local dishes, relaxation, and shopping for clothes."
Four Points by Sheraton Bandung,"Jalan Ir. H. Djuanda 46, Bandung Wetan, 40115 Bandung, Indonesia","Four Points by Sheraton Bandung offers an outdoor swimming pool and 3 dining options, 700 meters from the iconic Gedung Sate. You can use the free parking facilities if you bring a vehicle. Free Wi-Fi access is available in all areas. Each room is air-conditioned and equipped with a flat-screen satellite TV, minibar and iPod dock. The private bathroom is equipped with a shower, bathrobe and hairdryer. Some rooms have a bathtub. Saffron Restaurant serves Indonesian and international cuisine, while the Citrus Best Brew Pool Bar offers snacks and soft drinks. You can also order room service. You can swim in the pool or work out in the gym. The 24/7 reception can help you with free valet parking and luggage storage. Airport transfers and car rentals can be arranged at an additional cost.Four Points by Sheraton Bandung is 1.1 km from Jalan Riau and 1.2 km from Jalan Cihampelas. Husein Sastranegara Airport is 4 km away. Bandung Wetan is the right choice for tourists who like local dishes, relaxation, and shopping for clothes."
Mercure Bandung City Center,"Jalan Lengkong Besar No 8, 40261 Bandung, Indonesia","Mercure Bandung City Center is located in Bandung, 700 meters from Merdeka Palace, and features an outdoor pool, fitness center and bar. Among the various facilities at the accommodation include a restaurant, a 24-hour front desk and room service, and free Wi-Fi. This accommodation is non-smoking and is 1.5 km from Braga City Walk. All rooms in the hotel are equipped with a seating area. At Mercure Bandung City Center, all rooms include a desk, a flat-screen TV and a private bathroom. A choice of buffet and American breakfast is available every morning in the accommodation. Stasiun Hall Bus Terminal is 2 km from Bandung City Center, while Trans Studio Bandung is 3.8 km from the accommodation. The nearest airport is Husein Sastranegara, 7 km from the hotel, and this accommodation offers a paid airport shuttle service."
Swiss-Belresort Dago Heritage,"Jalan Dago Atas Golf Course No. 78, Bandung West Java, Indonesia, 40135 Bandung, Indonesia","Swiss-Belresort Dago Heritage in Bandung provides adults only accommodations with an outdoor swimming pool and a bar. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi. The hotel has newspapers and an ATM machine that guests can use. The hotel provides certain rooms that feature a balcony, and each room has an electric tea pot. Guest rooms at Swiss-Belresort Dago Heritage include air conditioning and a desk. The accommodation offers a continental or buffet breakfast. Dago Pakar is 4.2 km from Swiss-Belresort Dago Heritage, while Gedung Sate is 7.1 km away. The nearest airport is Husein Sastranegara Airport, 11.3 km from the hotel."
OYO 228 Hotel Lodaya,"Jl. Lodaya No.83, Lkr. Sel., Lengkong, 16151 Bandung, Indonesia","Located in central Bandung, Lodaya Hotel offers a variety of modern guestrooms with free Wi-Fi. Featuring a breakfast buffet at the in-house restaurant, the hotel also provides free parking. Lodaya Hotel is a 10-minute drive to Bandung Supermall and Trans Studio Theme Park. Hussein Sastranegara International Airport is 30 minutes away by taxi. All rooms are air-conditioned and come with city views and room service. A flat-screen satellite TV, telephone, wardrobe, and seating area are included. Private bathroom comes with a shower, toilet, free toiletries and towels. Laundry, ironing and airport shuttle services are available at an extra charge. Lodaya Hotel also provides car rental and concierge services. Newspapers and luggage storage are available at the 24-hour front desk. Local Sundanese and Indonesian cuisines are served at Lodaya Restaurant."
Prama Grand Preanger Bandung,"Jl. Asia Africa No. 81, Sumurbandung, 40111 Bandung, Indonesia","The elegant Prama Grand Preanger Bandung features modern interiors and offers a variety of rooms - from where you can enjoy views of the city. The hotel is just a 10-minute drive from Husein Sastranegara International Airport, and has a spa and fitness center. Trans Studio Bandung (indoor amusement park) and various shopping outlets, which include Paris Van Java, are a 15-minute drive from Prama Grand Preanger Bandung. Bandung Train Station is a 10-minute drive from the hotel. All rooms are spacious, and have a large en suite bathroom, a safe and tea / coffee making facilities. Some rooms are equipped with a separate living area and private dining room. Preanger Restaurant serves delicious western and Asian food. The restaurant also offers an American buffet breakfast every day. Preanger Lounge & Wine Corner provides a comfortable area to relax. Sumurbandung is the right choice for tourists who like shopping for clothes, special culinary delights, and local dishes."
P Hostel,"Jalan Peta No.21, 40243 Bandung, Indonesia","Located in Bandung and within 4.2 km of Stasiun Hall Bus Terminal, P Hostel has a garden, non-smoking rooms, and free WiFi. The property is around 5 km from Merdeka Palace, 5.3 km from Braga City Walk and 6.1 km from Trans Studio Bandung. The property has a 24-hour front desk, and luggage storage for guests. At the hostel, all rooms include a desk. Rooms are complete with a private bathroom equipped with a shower, all rooms at P Hostel have a flat-screen TV and air conditioning, and selected rooms also offer a terrace. Continental and buffet breakfast options are available every morning at the accommodation. Riau Street is 7.1 km from P Hostel, while Cihampelas Walk is 8 km from the property. The nearest airport is Husein Sastranegara Airport, 8 km from the hostel."
The Trans Luxury Hotel Bandung,"Jalan Gatot Subroto 289, 40273 Bandung, Indonesia","Located in the integrated Trans Studio Bandung Complex, The Trans Luxury Hotel Bandung offers modern rooms with an iPod dock. The hotel has an outdoor swimming pool, a spa center and a 24-hour fitness center. Wi-Fi is available free in all areas of the hotel. Trans Luxury Hotel is a 30-minute drive from Husein Sastranegara International Airport. Tangkuban Perahu Volcano can be reached by driving for 1 hour. Each room has a flat-screen satellite TV and tea / coffee making facilities. Free toiletries and a hairdryer are also provided. A spacious seating area with a sofa is available. You can work out at the fitness center or enjoy massage services to unwind. The hotel has a concierge desk to assist with your requests. Laundry and ironing services are also available. Airport shuttle services can be arranged at an additional cost. Asian and Western specialties are served at the hotel’s restaurant. The hotel also has a restaurant that serves a variety of international dishes."
Grand Tjokro Bandung,"Jalan Cihampelas no 211-217, 40131 Bandung, Indonesia","Located on the famous shopping street in Bandung, Grand Tjokro Hotel offers modern accommodations with free WiFi access in the entire area of the property, rooftop swimming pool and an on-site restaurant and bar. It takes a 10-minute drive from the hotel to Cihampelas Walk Shopping Mall, and around a 15-minute drive to the famous fashionable Rumah Mode factory outlet. Bandung Indah Plaza Mall is reachable within a 20-minute drive, while getting Husein Sastranegara Bandung International Airport will take around 30 minutes by car. Accessible via elevators, rooms at Grand Tjokro Hotel boast a modern and clean design that are air-conditioned and fitted with flat-screen cable TV, a seating area, a wardrobe, and a mini-bar. Each room also comes with an private bathroom featuring hot and cold shower facility with hairdryer and slippers. A 24-hour front desk with concierge service, and luggage storage are offered at this hotel. Other facilities like valet parking, airport transfers, shuttle service, laundry, dry cleaning, meeting/banquet facility, and business center are available at extra charges. The on-site Tjokro Restaurant offers a dining option which serves Indonesian, Chinese, and Western food. Guests can also explore the surrounding area where Glosis Restaurant can be found just a 15-minute drive away."
Grand Mercure Bandung Setiabudi,"Jl. Dr. Setiabudi no. 269 ​​- 275, 40154 Bandung, Indonesia","Can be reached in 10 minutes by driving from the famous Rumah Mode factory outlet, Grand Mercure Bandung Setiabudi offers modern and elegant accommodation with an outdoor swimming pool, free Wi-Fi access in all areas, and free parking. Cihampelas Walk and Paris Van Java Mall can be reached in a 15-minute drive from the hotel, while the famous Gedung Sate in 20 minutes. Husein Sastranegara International Airport can be reached in 30 minutes by car. All rooms at the Grand Mercure Bandung Setiabudi have air conditioning. Each room offers a seating area, a wardrobe, a flat-screen satellite TV, a fridge with a minibar and an electric kettle. There is also an en suite bathroom with shower facilities, a hairdryer and free toiletries. The hotel offers a 24-hour front desk with concierge services where friendly staff can assist you with car and bicycle rental services, airport transfers, laundry and dry cleaning requests, babysitting and currency exchange. Other facilities available are a sun terrace, children's club with a video game area, and luggage storage services. You can enjoy free access to the fitness center or relax on the sun terrace by the pool. For dining options, the hotel provides 4 restaurants and bars. The Hardy's Dining Room serves international dishes, Jing Paradise Restaurant offers a variety of Chinese dishes, the So'ren Lobby Bar serves a variety of snacks and drinks, and the Pool Bar also serves light meals with refreshing drinks."
Aston Tropicana Hotel Bandung,"Jl. Cihampelas 125-127, Sukajadi, 40131 Bandung, Indonesia","Located along Cihampelas Street in central Bandung, the Aston Tropicana Hotel has easy access to shopping areas. The hotel features an outdoor pool, a spa and a fitness center. The Aston Tropicana’s air-conditioned rooms have carpeted floors and a small sitting area. Each room has satellite TV, a safe, and tea/coffee-making facilities. Private bathrooms are fitted with a bathtub and a shower. Tropicana Karaoke is great for an evening with friends. The hotel features the convenience of a 24-hour front desk and a business center. It also provides free Wi-Fi in rooms and free parking on site. A breakfast buffet is served daily. Guests can enjoy meals at Lemongrass Restaurant, and drinks are served at the Coconut Lounge. Room service is available 24 hours a day. The Aston Tropicana Hotel Bandung is approximately 3.2 km from Husein Sastranegara International Airport. Airport pick-up can be arranged."
De Paviljoen Bandung by HIM,"Jl. RE Martadinata No.68, Bandung Wetan, 40115 Bandung, Indonesia","De Paviljoen provides modern accommodation in the city of Bandung, West Java. The hotel offers an outdoor swimming pool that is open year round, a spa center and a restaurant that serves a variety of delicious local and international dishes. Each luxurious room provides a comfortable bed with clean sheets. All rooms are equipped with air conditioning and flat screen televisions. The private bathroom is equipped with a shower. Slippers available for you. There is also an electric kettle for your convenience. You can contact the friendly staff of De Paviljoen at the 24-hour reception. The property also provides car rental services.Gedung Sate is 500 meters from De Paviljoen, and Jalan Riau is 600 meters away. The closest airport is Husein Sastranegara Airport, which is 5 km from the accommodation. Bandung Wetan is the right choice for tourists who like local dishes, relaxation, and shopping for clothes."
Sensa Hotel Bandung,"Jl. Cihampelas No. 160, 40131 Bandung, Indonesia","Sensa Hotel is located in Bandung and is directly connected to Cihampelas Walk. The accommodation features a spa, outdoor pool and trendy rooms that offer views of the city or mountains. Wi-Fi and parking are available free of charge. Sensa Hotel is only 100 meters from the lively Cihampelas Street, and is a 10-minute drive from Bandung Train Station. Husein Sastranegara Airport can be reached in around 15 minutes drive. All air-conditioned rooms at the hotel have large windows and a 37-inch flat-screen TV. Each room is equipped with a minibar and personal safe. The private bathroom features shower facilities. You can enjoy a relaxing massage and foot reflexology treatments at the spa. Sensa also offers car rental services on request. The Life Green Dining Restaurant serves a variety of international dishes. Light snacks and refreshing drinks are served at the Lobby Lounge."
Ibis Bandung Trans Studio,"Jl. Gatot Subroto No. 289, 40273 Bandung, Indonesia","In Trans Studio Bandung Complex, Ibis Bandung Trans Studio provides free parking and a 24-hour front desk. It offers a restaurant and 24-hour room service. Meeting rooms are available. Free Wi-Fi is available in all areas. A 10 minute drive from the center of the city of Bandung, Ibis Bandung Trans Studio is 199 m from Trans Studio Mall and Theme Park. Husein Sastranegara Airport is a 30 minute drive away. Modern rooms are furnished with a flat-screen cable TV, tea/coffee-making facilities and a personal safe. A laptop safe is also included. The private bathroom comes equipped with a hairdryer. Web corner is provided in the lobby. Fax, photocopying and laundry services are offered upon request. For added security, guests can leave their valuables at safes available at the front desk. A selection of Indonesian and international food are served in the restaurant."
Aston Pasteur,"Jl. Dr. Djunjunan 162, Sukajadi, 40162 Bandung, Indonesia","Featuring an outdoor pool and a restaurant, Aston Pasteur offers accommodations in Bandung. Free WiFi is accessible throughout the premises and free shuttle to the airport is available. All rooms at Aston Pasteur have air conditioning, a safety deposit box and a mini-bar. Each room has a flat-screen TV with cable channels. The private bathroom comes with a shower and a hairdryer. Extras include slippers and free toiletries. There is a 24-hour front desk and concierge service at the property. The staff can assist with luggage storage, laundry and dry cleaning services at extra fees. Cihampelas Walk is 1.4 mi from Aston Pasteur, while Stasiun Hall Bus Terminal is 2.1 mi from the property. The nearest airport is Husein Sastranegara Airport, 0.6 mi from Aston Pasteur. Sukajadi is a great choice for travelers interested in culturally diverse food, scenery and food shopping."
